ID,start_date,end_date ,duration,Info_source ,news_link ,continent,sub-region,country ,geo_scope,area_name ,ordered_by ,decision_maker,shutdown_type_new,affected_network,full or service-based,Facebook_affected,Twitter_affected,WhatsApp_affected,Instagram_affected,Telegram_affected,other_service_details (specify) ,SMS_and_phone_call_affected,telcos_involved ,gov_ack,official_just,other_just_details,off_statement,actual_cause,other_cause_details,election,violence,hr_abuse_reported,users_notified,users_affected/targetted ,legal_justif,legal_method ,telco_resp,telco_ ack,econ_impact,event ,an_link ,notes
185,10/7/2019,10/7/2019,0,News Media Article,"https://advox.globalvoices.org/2019/10/11/netizen-report-turkey-iraq-and-ecuador-face-network-shutdowns-amid-conflict-public-protests/
https://netblocks.org/reports/evidence-of-social-media-disruptions-in-ecuador-as-crisis-deepens-oy9RN483",South America,,Ecuador,Level 3,National,Executive government,,Throttle,Mobile and broadband,Service-based,TRUE,TRUE,TRUE,FALSE,FALSE,,,Corporación Nacional de Telecomunicaciones (CNT) ,Unknown ,Unknown ,,,Protest,,No ,Yes ,Yes,Unknown,,Unknown,,Unknown,,,,,
6,1/1/2019,1/2/2019,1,News Media Article,"https://www.indiatoday.in/india/video/bhima-koregaon-anniversary-internet-services-suspended-to-maintain-order-1421040-2019-01-01

https://indianexpress.com/article/india/bhima-koregaon-anniversary-live-updates-chandrashekhar-azad-pune-police-elgaar-parishad-5517879/",Asia Pacific,,India ,Level 1,"Bhima Koregaon village, Pune district, Maharashtra state",State government,Maharashtra State Government,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,SMS,,Yes ,Other,Precautionary Measure ,,Religious Holiday / Anniversary,,No ,No,No,No,Others,Yes,Section-144 of CrPC,Unknown,,,Possible violence on Anniversary of Bhima Koregaon conflict,,
10,1/7/2019,1/8/2019,1,CSO KIO Partners ,"https://ooni.torproject.org/post/gabon-internet-disruption/

https://cpj.org/2019/01/gabon-shuts-down-the-internet-and-broadcasting-ser.php",Africa,,Gabon,Level 3,National ,Executive government,,Shutdown,Mobile and broadband,Full and Service-based,TRUE,TRUE,TRUE,FALSE,FALSE,,None,"Airtel (Bharti Airtel)
Azur (Bintel) 
Gabon Telecom (Maroc Telecom) ",No,None,,,Political Instability,Military Coup,No ,Unknown,Unknown,Unknown,Others,No ,,Unknown,,,"On 7th January 2019, a military coup was attempted in Gabon in a bid to end more than 50 years of rule by President Ali Bongo’s family. The coup attempt was quickly foiled. Meanwhile, a curfew has been imposed and NetBlocks reported that access to the Internet has been shut down.",,
19,1/24/2019,1/25/2019,1,News Media Article,"https://www.deccanherald.com/national/internet-services-suspended-714715.html

http://www.millenniumpost.in/nation/internet-services-suspended-in-odishas-kpara-district-337819",Asia Pacific,,India ,Level 1,"Kendrapara, Odisha",Local government,Kendrapara District Government,Shutdown,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Yes ,Other,Precautionary Measure,"""Net connectivity has been disabled in the urban areas. We took recourse to such precautionary steps to prevent breach of peace in sensitive areas,"" Kendrapara District Collector Dasarathy Satpathy said.",Communal Violence,,No ,Unknown,Unknown,Unknown,Others,Yes,Section-144 of CrPC,Unknown,,,Internet shutdown in Kendrapada following communal clashes during Netaji's birthday celebration.,,
21,1/26/2019,1/27/2019,1,News Media Article,"http://www.uniindia.com/~/republic-day-mobile-internet-service-suspended-in-kashmir/States/news/1479446.html

https://www.tribuneindia.com/news/jammu-kashmir/mobile-internet-services-suspended-in-kashmir-in-view-of-r-day/719570.html",Asia Pacific,,India ,Level  2,Kashmir,State government,Jammu and Kashmir State Government,Shutdown,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,"Bharat Sanchar Nigam Limited (BSNL), Airtel",Yes ,Other,Precautionary Measure,"Mobile internet services were snapped in the early hours as stringent security arrangements were put in place for Republic Day celebrations across Kashmir Valley, a police official said.

He said the services were snapped as a Precautionary Measure.",Religious Holiday / Anniversary,,No ,Unknown,Unknown,Unknown,Others,Unknown,,Yes,http://www.uniindia.com/~/republic-day-mobile-internet-service-suspended-in-kashmir/States/news/1479446.html,,Internet shutdown in the Kashmir Valley to ensure law and order and peace on Republic day,,
25,2/3/2019,2/4/2019,1,News Media Article,"https://www.thehindu.com/news/national/internet-services-snapped-in-srinagar-ahead-of-pms-visit/article26166768.ece

https://kashmirlife.net/mobile-internet-services-restored-2-200598/",Asia Pacific,,India ,Level 1,"Srinagar, jammu and Kashmir",State government,Jammu and Kashmir State Government,Shutdown,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Yes ,Other,Precautionary Measure,,Visits by Government Officials,,No ,Unknown,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet shutdown in Srinagar to ensure law and order during PM's Kashmir visit to ensure that PM'svisit passes off smoothly.,,
30,2/12/2019,2/13/2019,1,News Media Article,"https://scroll.in/latest/912977/rajasthan-gujjar-protests-internet-services-suspended-in-sawai-madhopur-district-till-wednesday

https://www.newsnation.in/india-news/gujjar-community-stir-agitation-rajasthan-sawai-madhopur-trains-affected-internet-suspended-gurjar-kirori-singh-bainsla-chief-minister-ashok-gehlot-article-213872.html",Asia Pacific,,India ,Level 1,"Sawai Madhopur district, Rajasthan",Local government,District Officials,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Yes ,Other,Precautionary Measure,,Protest,,No ,Unknown,Unknown,Unknown,Others,Unknown,,Unknown,,,Internet Shutdown in Sawai Madhopur district of Rajasthan after the Gujjar reservation protest entered its fifth dayand taken over the railway tracks hampering movements of trains,,
32,2/13/2019,2/14/2019,1,News Media Article,"https://timesofindia.indiatimes.com/city/agra/internet-suspended-for-24-hours-in-aligarh-following-amu-clash/articleshow/67981464.cms

https://www.indiatoday.in/india/story/amu-sedition-case-agitation-aligarh-1455057-2019-02-13",Asia Pacific,,India ,Level 1,"Aligarh district, Uttar pradesh",Local government,District Officials,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Yes ,Other,Precautionary Measure,,Communal Violence,,No ,Yes,Unknown,Unknown,Others,Yes,"Section 144 of CrPC
",Unknown,,,Internet Shutdown in Aligarh district following a clash between student groups where several student were injured.,,
33,2/14/2019,2/15/2019,1,News Media Article,"https://timesofindia.indiatimes.com/india/pulwama-attack-mobile-internet-shut-in-south-kashmir-speed-reduced-to-2g-level-in-srinagar/articleshow/67998777.cms

https://www.firstpost.com/india/pulwama-attack-live-updates-internet-services-snapped-in-south-kashmir-cabinet-committee-on-security-to-meet-tomorrow-6087641.html


",Asia Pacific,,India ,Level  2,"Srinagar, South Kashmir, Kashmir Valley, Jammu and Kashmir",State government,Jammu and Kashmir State Government,Shutdown and throttle,Mobile,Full,FALSE,FALSE,FALSE,FALSE,FALSE,Internet suspended in South Kashmir and speed reduced to 2G in Srinagar,None,,Yes ,Other,Precautionary Measure,,Other,Military Action,No ,Yes,Unknown,Unknown,Others,Yes,Martial Law,Unknown,,,Internet shutdown in South Kashmir and speed reduced to 2G in Srinagar as a Precautionary Measure to prevent the spread of rumours and ensure security following one of the most deadliest attacks on Indian Security Forces in which 44 soldiers were martyred.,,
35,2/18/2019,2/19/2019,1,News Media Article,https://www.newsnation.in/india-news/jk-major-among-4-army-men-killed-in-overnight-encounter-in-pulwamas-pinglan-internet-services-suspended--article-214466.html,Asia Pacific,,India ,Level 1,"Pinglan, Pulwama district, Jammu and Kashmir",State government,Jammu and Kashmir State Government,Shutdown,Mobile and broadband,Full,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No,None,,,Other,Military Action,No ,Yes,Unknown,Unknown,Minority Groups,No,,Unknown,,,Internet shutdown in Pinglan area of Pulwama district as a Precautionary Measure to ensure safety following  an encounter of security forces with terrorists in which four soldiers were martyred and three terrorists were killed,,
